Company,Email,Website,Batch,Vertical,Notes
Human Behavior,founders@humanbehavior.co,https://www.humanbehavior.co/,Spring 2025,AI/DevTools,YC Spring 2025 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Helonic,founders@helonic.com,https://helonic.com,Fall 2025,AI,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Mixy,hello@usemixy.com,https://usemixy.com,Fall 2025,AI,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Altur,careers@altur.io,https://altur.io,Summer 2025,AI,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Anto Biosciences,founders@anto.bio,https://www.anto.bio/,Fall 2025,AI,YC Fall 2025 · AI · cold email for opportunity; ask to forward to hiring manager
CLODO,hello@clodo.ai,https://clodo.ai,Summer 2025,AI,YC Summer 2025 · AI · cold email for opportunity; ask to forward to hiring manager
Capacitive,contact@capacitive.ai,https://capacitive.ai/,Spring 2025,DevTools,YC Spring 2025 · DevTools · cold email for opportunity; ask to forward to hiring manager
Greptile,support@greptile.com,https://www.greptile.com,Winter 2024,AI/DevTools,YC Winter 2024 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Okibi,hello@okibi.ai,https://okibi.ai,Summer 2025,DevTools,YC Summer 2025 · DevTools · cold email for opportunity; ask to forward to hiring manager
Panelytic,founders@panelytic.com,https://panelytic.com/,Winter 2024,AI,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
s2.dev,hi@s2.dev,https://s2.dev,Fall 2025,DevTools,YC Fall 2025 · DevTools · cold email for opportunity; ask to forward to hiring manager
Diana,careers@getdiana.com,https://getdiana.com/,Winter 2024,AI,YC Winter 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Ångström AI,info@angstrom-ai.com,https://www.angstrom-ai.com,Summer 2024,AI,YC Summer 2024 · AI · cold email for opportunity; ask to forward to hiring manager
ZeroPath,founders@zeropath.com,https://zeropath.com,Summer 2024,AI/DevTools,YC Summer 2024 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
Riveter,support@riveterhq.com,https://www.riveterhq.com/,Fall 2024,AI,YC Fall 2024 · AI · cold email for opportunity; ask to forward to hiring manager
Miru,founders@mirurobotics.com,https://www.mirurobotics.com,Summer 2024,DevTools,YC Summer 2024 · DevTools · cold email for opportunity; ask to forward to hiring manager
Ryse,hello@rysemarket.com,https://www.rysemarket.com/,Winter 2024,ML,YC Winter 2024 · ML · cold email for opportunity; ask to forward to hiring manager
Struct,team@struct.ai,https://struct.ai,Fall 2024,AI/DevTools,YC Fall 2024 · AI/DevTools · cold email for opportunity; ask to forward to hiring manager
expand.ai,founder@expand.ai,https://expand.ai/,Summer 2024,DevTools,YC Summer 2024 · DevTools · cold email for opportunity; ask to forward to hiring manager
Hippo Scribe,hello@gethipposcribe.com,https://gethipposcribe.com,Winter 2023,AI,YC Winter 2023 · AI · cold email for opportunity; ask to forward to hiring manager
Webhound,team@webhound.ai,https://webhound.ai,Summer 2023,AI,YC Summer 2023 · AI · cold email for opportunity; ask to forward to hiring manager
cmux,founders@cmux.com,https://www.cmux.com,Summer 2024,DevTools,YC Summer 2024 · DevTools · hiring · from careers page; cold email for opportunity
Relling,careers@rellingsystems.com,https://relling.co,Summer 2025,AI,YC Summer 2025 · AI · hiring · from careers page; cold email for opportunity
Artificial Societies,careers@societies.ai,https://societies.io,Winter 2025,AI,YC Winter 2025 · AI · hiring · from careers page; cold email for opportunity
Photonium,founders@photonium.ai,https://www.photoniumoptics.com/,Spring 2025,ML,YC Spring 2025 · ML · scraped from site; MX OK
OnDeck AI,hello@ondeck-ai.com,https://www.ondeckai.com,Summer 2025,ML,YC Summer 2025 · ML · scraped from site; MX OK
Bolna AI,hello@bolna.ai,https://bolna.ai,Fall 2025,AI,YC Fall 2025 · AI · scraped from site; MX OK
Legora,contact@legora.com,https://www.legora.com/,Winter 2024,AI,YC Winter 2024 · AI · scraped from site; MX OK
Raindrop,sales@raindrop.ai,https://www.raindrop.ai,Winter 2024,AI,YC Winter 2024 · AI · scraped from site; MX OK
Firebender,founders@firebender.com,https://firebender.com,Winter 2024,AI,YC Winter 2024 · AI · scraped from site; MX OK
BetterBasket,founders@betterbasket.ai,http://www.betterbasket.com,Winter 2024,AI,YC Winter 2024 · AI · scraped from site; MX OK
ProhostAI,support@prohost.ai,https://www.prohost.ai/,Summer 2024,AI,YC Summer 2024 · AI · scraped from site; MX OK
Retell AI,support@retellai.com,https://retellai.com,Winter 2024,AI,YC Winter 2024 · AI · scraped from site; MX OK
Brainbase Labs,Gokhan@brainbaselabs.com,https://brainbaselabs.com,Winter 2024,AI,YC Winter 2024 · AI · scraped from site; MX OK · personal
Cloudglue,hello@cloudglue.dev,https://cloudglue.dev,Summer 2024,ML/DevTools,YC Summer 2024 · ML/DevTools · scraped from site; MX OK
Rubbrband,contact@rubbrband.com,https://rubbrband.com,Winter 2023,AI,YC Winter 2023 · AI · scraped from site; MX OK
HumanLayer,contact@humanlayer.dev,https://humanlayer.com,Fall 2024,AI/DevTools,YC Fall 2024 · AI/DevTools · scraped from site; MX OK
Gooseworks,help@gooseworks.ai,https://gooseworks.ai/,Winter 2023,AI,YC Winter 2023 · AI · scraped from site; MX OK
Type,hello@type.ai,https://type.ai,Winter 2023,AI,YC Winter 2023 · AI · scraped from site; MX OK
Cardinal Gray,muhammad@cardinalgray.com,https://www.cardinalgray.com/,Summer 2023,AI,YC Summer 2023 · AI · scraped from site; MX OK · personal
VectorShift,contact@vectorshift.ai,https://www.vectorshift.ai,Summer 2023,AI,YC Summer 2023 · AI · scraped from site; MX OK
Numen,contact@numen.com,https://www.numen.com,Summer 2023,ML,YC Summer 2023 · ML · scraped from site; MX OK
Pair AI,founders@pairai.com,https://www.pairai.com/,Winter 2023,AI,YC Winter 2023 · AI · scraped from site; MX OK
/dev/fast,founders@dev.fast,https://dev.fast,Winter 2026,DevTools,Scraped from company site (careers/contact); MX OK
Archal,founders@archal.ai,https://www.archal.ai/,Summer 2026,AI/DevTools,Scraped from company site (careers/contact); MX OK
Artisan,hello@artisan.co,https://artisan.co/?utm_source=ycombinator,Winter 2024,AI,Scraped from company site (careers/contact); MX OK
Carrot Labs,contact@superpenguin.ai,https://superpenguin.ai/,Winter 2026,AI,Scraped from company site (careers/contact); MX OK
Centauri AI,contact@centauri-ai.tech,https://centauri-ai.tech,Winter 2024,DevTools,Scraped from company site (careers/contact); MX OK
Compyle,hello@compyle.ai,https://compyle.ai,Fall 2025,AI/DevTools,Scraped from company site (careers/contact); MX OK
Conifer,contact@conifer.build,https://www.conifer.build,Summer 2026,AI/DevTools,Scraped from company site (careers/contact); MX OK
Corgi Insurance,hello@corgi.insure,https://corgi.com,Summer 2024,AI,Scraped from company site (careers/contact); MX OK
Dartboard,info@dartboard.ai,https://dartboard.ai,Winter 2025,AI,Scraped from company site (careers/contact); MX OK
Datafruit,founders@datafruit.dev,https://datafruit.ai/,Summer 2025,AI,Scraped from company site (careers/contact); MX OK
Frizzle,hello@frizzle.com,https://www.frizzle.com,Summer 2025,AI,Scraped from company site (careers/contact); MX OK
Fuse,founders@fuseinsight.com,http://www.fuseinsight.com,Summer 2024,AI,Scraped from company site (careers/contact); MX OK
Osseus,hello@osseus.ai,https://osseus.ai/,Summer 2026,AI,Scraped from company site (careers/contact); MX OK
Pinnacle,founders@pinnacle.sh,https://pinnacle.sh/,Summer 2024,DevTools,Scraped from company site (careers/contact); MX OK
ReJot,founders@rejot.dev,https://rejot.dev,Winter 2025,DevTools,Scraped from company site (careers/contact); MX OK
RunLocal AI,founders@runlocal.ai,https://runlocal.ai,Summer 2024,AI/DevTools,Scraped from company site (careers/contact); MX OK
SellRaze,info@sellraze.com,https://sellraze.com,Fall 2025,AI,Scraped from company site (careers/contact); MX OK
Touchmark,contact@touchmark.ai,https://touchmark.ai,Summer 2026,AI,Scraped from company site (careers/contact); MX OK
Traceforce,info@traceforce.ai,https://www.traceforce.ai,Summer 2026,AI,Scraped from company site (careers/contact); MX OK
Woz,info@ozcode.com,https://www.wozcode.com/,Winter 2025,AI,Scraped from company site (careers/contact); MX OK
Yuma AI,hello@yuma.ai,https://yuma.ai,Winter 2023,AI,Scraped from company site (careers/contact); MX OK
sizeless,info@sizeless.co,https://www.sizeless.co,Summer 2023,AI,Scraped from company site (careers/contact); MX OK
