Company,Email,Person,Title,City,State,Category,Notes
Thoughtworks,nancy.gupta@thoughtworks.com,Team,Contact,Pune,Maharashtra,Software consultancy,email nancy.gupta@thoughtworks.com from existing repo list (domain match); Software consultancy; applies via careers portal (no public email) - https://www.thoughtworks.com/careers/jobs; offices: Pune/Bengaluru/Hyderabad/Gurugram
TotalEnergies,,,,Pune,Maharashtra,Energy GCC,Energy GCC; applies via careers portal (no public email) - https://totalenergies.com/careers; offices: Pune
UBS,,,,Pune,Maharashtra,BFSI tech,BFSI tech; applies via careers portal (no public email) - https://www.subsets.com; offices: Pune/Mumbai/Hyderabad
Vodafone (_VOIS),,,,Pune,Maharashtra,Telecom GCC,Telecom GCC; applies via careers portal (no public email) - https://vodafone.com/careers; offices: Pune/Bengaluru
Williams-Sonoma,,,,Pune,Maharashtra,Retail-tech GCC,Retail-tech GCC; applies via careers portal (no public email) - https://williams-sonomainc.com/careers; offices: Pune
Workday,jimmy.lamba@workday.com,Team,Contact,Pune,Maharashtra,SaaS product,email jimmy.lamba@workday.com from existing repo list (domain match); SaaS product; applies via careers portal (no public email) - https://workday.com/careers; offices: Pune/Bengaluru
Zendesk,,,,Pune,Maharashtra,Tech GCC,Tech GCC; applies via careers portal (no public email) - https://zendesk.com/careers; offices: Pune
Zensar,careers@zensar.com,Team,Contact,Pune,Maharashtra,IT services,email careers@zensar.com from existing repo list (domain match); IT services; applies via careers portal (no public email) - https://www.zensar.com/careers; offices: Pune/Hyderabad/Bengaluru
GitLab,,,,Remote India,Remote,Dev-tools product,Dev-tools product; applies via careers portal (no public email) - https://gitlab.com/careers; offices: Remote India
AstraZeneca,,,,Chennai,Tamil Nadu,Pharma GCC,Pharma GCC; applies via careers portal (no public email) - https://astrazeneca.com/careers; offices: Chennai/Bengaluru
Bank of America,,,,Chennai,Tamil Nadu,BFSI tech,BFSI tech; applies via careers portal (no public email) - https://www.trustbank.sg/careers; offices: Chennai/Hyderabad/Mumbai
BorgWarner,,,,Chennai,Tamil Nadu,Automotive GCC,Automotive GCC; applies via careers portal (no public email) - https://borgwarner.com/careers; offices: Chennai
Caterpillar,sabarinathan.balachandar@cat.com,Sabarinathan Balachandar,Talent acquisition coordinator,Chennai,Tamil Nadu,Industrial GCC,Vibe Prospecting HR contact (valid); Industrial GCC; applies via careers portal (no public email) - https://caterpillar.com/careers; offices: Chennai/Bengaluru
Cognizant,Campus@chn.cognizant.com,Team,Contact,Chennai,Tamil Nadu,IT services,email Campus@chn.cognizant.com from existing repo list (domain match); IT services; applies via careers portal (no public email) - https://careers.cognizant.com/global-en/jobs/; offices: Chennai/Hyderabad/Pune/Bengaluru
Comcast,,,,Chennai,Tamil Nadu,Media/tech GCC,Media/tech GCC; applies via careers portal (no public email) - https://comcast.com/careers; offices: Chennai
Ford,ghemanth@ford.com,Team,Contact,Chennai,Tamil Nadu,Automotive GCC,email ghemanth@ford.com from existing repo list (domain match); Automotive GCC; applies via careers portal (no public email) - https://ford.com/careers; offices: Chennai
Freshworks,careers@freshworks.com,Team,Contact,Chennai,Tamil Nadu,SaaS product,email careers@freshworks.com from existing repo list (domain match); SaaS product; applies via careers portal (no public email) - https://www.freshworks.com/company/careers/; offices: Chennai
Genesys,,,,Chennai,Tamil Nadu,Tech GCC,Tech GCC; applies via careers portal (no public email) - https://genesys.com/careers; offices: Chennai/Hyderabad
Hexaware,talent@hexaware.com,Team,Contact,Chennai,Tamil Nadu,IT services,email talent@hexaware.com from existing repo list (domain match); IT services; applies via careers portal (no public email) - https://hexaware.com/careers/; offices: Chennai/Mumbai/Pune/Bengaluru
KLA,,,,Chennai,Tamil Nadu,Semiconductor GCC,Semiconductor GCC; applies via careers portal (no public email) - https://kla.com/careers; offices: Chennai/Bengaluru
LatentView Analytics,aanchal.santosh@latentview.com,Team,Contact,Chennai,Tamil Nadu,Analytics,email aanchal.santosh@latentview.com from existing repo list (domain match); Analytics; applies via careers portal (no public email) - https://latentview.com/careers; offices: Chennai
Microchip,resume.idc@microchip.com,Team,Contact,Chennai,Tamil Nadu,Semiconductor GCC,email resume.idc@microchip.com from existing repo list (domain match); Semiconductor GCC; applies via careers portal (no public email) - https://microchip.com/careers; offices: Chennai/Bengaluru/Hyderabad
PayPal,akrchatruvedi@paypal.com,Team,Contact,Chennai,Tamil Nadu,Fintech/product,email akrchatruvedi@paypal.com from existing repo list (domain match); Fintech/product; applies via careers portal (no public email) - https://careers.pypl.com/home/; offices: Chennai/Bengaluru/Hyderabad
Pfizer,anuja.mestry@pfizer.com,Anuja Mestry,Talent acquisition specialist,Chennai,Tamil Nadu,Pharma GCC,Vibe Prospecting HR contact (catch_all); Pharma GCC; applies via careers portal (no public email) - https://pfizer.com/careers; offices: Chennai/Mumbai
Tiger Analytics,careers@tigeranalytics.com,Talent Acquisition,Careers,Chennai,Tamil Nadu,Analytics,VERIFIED careers inbox on tigeranalytics.com; MX OK; offices: Chennai/Bengaluru/Hyderabad
Toyota Connected,,,,Chennai,Tamil Nadu,Automotive GCC,Automotive GCC; applies via careers portal (no public email) - https://toyotaconnected.com/careers; offices: Chennai
Verizon,prasanna.veerasamy@verizon.com,Team,Contact,Chennai,Tamil Nadu,Telecom GCC,email prasanna.veerasamy@verizon.com from existing repo list (domain match); Telecom GCC; applies via careers portal (no public email) - https://verizon.com/careers; offices: Chennai/Hyderabad/Bengaluru
Zoho,sridhar@zoho.com,Team,Contact,Chennai,Tamil Nadu,SaaS product,email sridhar@zoho.com from existing repo list (domain match); SaaS product; applies via careers portal (no public email) - https://careers.zohocorp.com/jobs/Careers; offices: Chennai
Amgen,,,,Hyderabad,Telangana,Pharma GCC,Pharma GCC; applies via careers portal (no public email) - https://amgen.com/careers; offices: Hyderabad
Bristol Myers Squibb,akanksha.tripathi@bms.com,Team,Contact,Hyderabad,Telangana,Pharma GCC,email akanksha.tripathi@bms.com from existing repo list (domain match); Pharma GCC; applies via careers portal (no public email) - https://bms.com/careers; offices: Hyderabad
Carrier,,,,Hyderabad,Telangana,Industrial GCC,Industrial GCC; applies via careers portal (no public email) - https://carrier.com/careers; offices: Hyderabad/Gurugram
Charles Schwab,,,,Hyderabad,Telangana,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://schwab.com/careers; offices: Hyderabad
Chubb,,,,Hyderabad,Telangana,Insurance GCC,Insurance GCC; applies via careers portal (no public email) - https://chubb.com/careers; offices: Hyderabad/Bengaluru
Cyient,,,,Hyderabad,Telangana,Engineering/IT,Engineering/IT; applies via careers portal (no public email) - https://www.cyient.com/careers; offices: Hyderabad/Bengaluru/Pune
DBS,,,,Hyderabad,Telangana,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://dbs.com/careers; offices: Hyderabad
Deloitte,deloitteopportunities@deloitte.com,Team,Contact,Hyderabad,Telangana,Consulting/IT,email deloitteopportunities@deloitte.com from existing repo list (domain match); Consulting/IT; applies via careers portal (no public email) - https://www2.deloitte.com/in/en/careers.html; offices: Hyderabad/Bengaluru/Pune/Gurugram
Electronic Arts,jobsindia@ea.com,Team,Contact,Hyderabad,Telangana,Gaming GCC,email jobsindia@ea.com from existing repo list (domain match); Gaming GCC; applies via careers portal (no public email) - https://ea.com/careers; offices: Hyderabad
EPAM Systems,abhishek_patil@epam.com,Team,Contact,Hyderabad,Telangana,IT services,email abhishek_patil@epam.com from existing repo list (domain match); IT services; applies via careers portal (no public email) - https://www.epam.com/careers/job-listings; offices: Hyderabad/Pune/Bengaluru/Gurugram
Franklin Templeton,abhishek.shekhawat@franklintempleton.com,Team,Contact,Hyderabad,Telangana,BFSI GCC,email abhishek.shekhawat@franklintempleton.com from existing repo list (domain match); BFSI GCC; applies via careers portal (no public email) - https://franklintempleton.com/careers; offices: Hyderabad/Chennai
Gap,,,,Hyderabad,Telangana,Retail-tech GCC,Retail-tech GCC; applies via careers portal (no public email) - https://aisingapore.org/careers/; offices: Hyderabad/Bengaluru
Genpact,Mohit.Prasad@genpact.com,Team,Contact,Hyderabad,Telangana,IT/BPM,email Mohit.Prasad@genpact.com from existing repo list (domain match); IT/BPM; applies via careers portal (no public email) - https://www.genpact.com/careers; offices: Hyderabad/Bengaluru/Gurugram
Grid Dynamics,jobs@griddynamics.com,Talent Acquisition,Careers,Hyderabad,Telangana,IT services,VERIFIED careers inbox on griddynamics.com; MX OK; offices: Hyderabad/Chennai
HSBC,nehaahuja@hsbc.com,Team,Contact,Hyderabad,Telangana,BFSI tech,email nehaahuja@hsbc.com from existing repo list (domain match); BFSI tech; applies via careers portal (no public email) - https://www.hsbc.com/careers; offices: Hyderabad/Pune/Bengaluru
Invesco,,,,Hyderabad,Telangana,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://invesco.com/careers; offices: Hyderabad
Lloyds Banking Group,,,,Hyderabad,Telangana,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://lloydsbankinggroup.com/careers; offices: Hyderabad
McDonald's,,,,Hyderabad,Telangana,Consumer GCC,Consumer GCC; applies via careers portal (no public email) - https://mcdonalds.com/careers; offices: Hyderabad
Medtronic,,,,Hyderabad,Telangana,Medtech GCC,Medtech GCC; applies via careers portal (no public email) - https://medtronic.com/careers; offices: Hyderabad/Bengaluru
Micron Technology,naveenm@micron.com,Naveen Mattaparty,Human resources shared services analyst,Hyderabad,Telangana,Semiconductor,Vibe Prospecting HR contact (catch_all); Semiconductor; applies via careers portal (no public email) - https://careers.micron.com/careers; offices: Hyderabad/Bengaluru
Microsoft,idccvs@microsoft.com,Team,Contact,Hyderabad,Telangana,Product/tech,email idccvs@microsoft.com from existing repo list (domain match); Product/tech; applies via careers portal (no public email) - https://careers.microsoft.com/students/us/en/search-results; offices: Hyderabad/Bengaluru/Noida
Novartis,arabinda.mohapatra@novartis.com,Team,Contact,Hyderabad,Telangana,Pharma GCC,email arabinda.mohapatra@novartis.com from existing repo list (domain match); Pharma GCC; applies via careers portal (no public email) - https://novartis.com/careers; offices: Hyderabad
Optum,swati.gupta@optum.com,Team,Contact,Hyderabad,Telangana,Healthcare GCC,email swati.gupta@optum.com from existing repo list (domain match); Healthcare GCC; applies via careers portal (no public email) - https://careers.unitedhealthgroup.com/; offices: Hyderabad/Bengaluru/Gurugram/Noida
Otis,careers@otis.com,Talent Acquisition,Careers,Hyderabad,Telangana,Industrial GCC,VERIFIED careers inbox on otis.com; MX OK; offices: Hyderabad
PepsiCo,anushka.nigam@pepsico.com,Anushka Nigam,Human resources management trainee,Hyderabad,Telangana,Consumer GCC,Vibe Prospecting HR contact (valid); Consumer GCC; applies via careers portal (no public email) - https://pepsico.com/careers; offices: Hyderabad/Gurugram
Procter & Gamble,,,,Hyderabad,Telangana,Consumer GCC,Consumer GCC; applies via careers portal (no public email) - https://pg.com/careers; offices: Hyderabad/Mumbai
Qualcomm,careers.bdc@qualcomm.com,Team,Contact,Hyderabad,Telangana,Semiconductor,email careers.bdc@qualcomm.com from existing repo list (domain match); Semiconductor; applies via careers portal (no public email) - https://careers.qualcomm.com/careers; offices: Hyderabad/Bengaluru/Chennai
Salesforce,keshav.somani@salesforce.com,Team,Contact,Hyderabad,Telangana,Product/tech,email keshav.somani@salesforce.com from existing repo list (domain match); Product/tech; applies via careers portal (no public email) - https://www.salesforce.com/company/careers/university-recruiting/; offices: Hyderabad/Bengaluru
Sanofi,,,,Hyderabad,Telangana,Pharma GCC,Pharma GCC; applies via careers portal (no public email) - https://sanofi.com/careers; offices: Hyderabad
ServiceNow,amol.kelkar@servicenow.com,Team,Contact,Hyderabad,Telangana,Product/tech,email amol.kelkar@servicenow.com from existing repo list (domain match); Product/tech; applies via careers portal (no public email) - https://careers.servicenow.com/careers/; offices: Hyderabad/Bengaluru
Skyworks,,,,Hyderabad,Telangana,Semiconductor GCC,Semiconductor GCC; applies via careers portal (no public email) - https://skyworksinc.com/careers; offices: Hyderabad
Starbucks,,,,Hyderabad,Telangana,Consumer GCC,Consumer GCC; applies via careers portal (no public email) - https://starbucks.com/careers; offices: Hyderabad/Bengaluru
Synchrony,,,,Hyderabad,Telangana,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://synchrony.com/careers; offices: Hyderabad/Pune
TD Bank,,,,Hyderabad,Telangana,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://www.astralpipes.com/careers; offices: Hyderabad
Virtusa,,,,Hyderabad,Telangana,IT services,IT services; applies via careers portal (no public email) - https://careers.virtusa.com/; offices: Hyderabad/Bengaluru/Chennai/Pune
Walgreens,,,,Hyderabad,Telangana,Retail-tech GCC,Retail-tech GCC; applies via careers portal (no public email) - https://walgreens.com/careers; offices: Hyderabad/Bengaluru
Warner Bros Discovery,,,,Hyderabad,Telangana,Media/tech GCC,Media/tech GCC; applies via careers portal (no public email) - https://wbd.com/careers; offices: Hyderabad/Bengaluru
ZF,shrikrishna.das@zf.com,Team,Contact,Hyderabad,Telangana,Automotive GCC,email shrikrishna.das@zf.com from existing repo list (domain match); Automotive GCC; applies via careers portal (no public email) - https://zf.com/careers; offices: Hyderabad/Chennai/Pune
STMicroelectronics,,,,Greater Noida,Uttar Pradesh,Semiconductor GCC,Semiconductor GCC; applies via careers portal (no public email) - https://st.com/careers; offices: Greater Noida/Bengaluru
Adobe,mjagadev@adobe.com,Team,Contact,Noida,Uttar Pradesh,Product/tech,email mjagadev@adobe.com from existing repo list (domain match); Product/tech; applies via careers portal (no public email) - https://careers.adobe.com/us/en/c/university-jobs; offices: Noida/Bengaluru
Ameriprise Financial,,,,Noida,Uttar Pradesh,BFSI GCC,BFSI GCC; applies via careers portal (no public email) - https://ameriprise.com/careers; offices: Noida/Gurugram
Birlasoft,mayank.jain@birlasoft.com,Team,Contact,Noida,Uttar Pradesh,IT services,email mayank.jain@birlasoft.com from existing repo list (domain match); IT services; applies via careers portal (no public email) - https://www.birlasoft.com/careers; offices: Noida/Pune/Bengaluru/Hyderabad
Cadence,padmap@cadence.com,Padma Panda,Human resources director and business partner,Noida,Uttar Pradesh,Semiconductor EDA,Vibe Prospecting HR contact (catch_all); Semiconductor EDA; applies via careers portal (no public email) - https://cadence.wd1.myworkdayjobs.com/External_Careers; offices: Noida/Bengaluru/Pune
Coforge,sudhir.singh@coforge.com,Team,Contact,Noida,Uttar Pradesh,IT services,email sudhir.singh@coforge.com from existing repo list (domain match); IT services; applies via careers portal (no public email) - https://careers.coforge.com/; offices: Noida/Greater Noida/Bengaluru
HCLTech,freedom@ggn.hcltech.com,Team,Contact,Noida,Uttar Pradesh,IT services,email freedom@ggn.hcltech.com from existing repo list (domain match); IT services; applies via careers portal (no public email) - https://www.hcltech.com/careers/jobs; offices: Noida/Bengaluru/Chennai/Hyderabad
Iris Software,,,,Noida,Uttar Pradesh,IT services,IT services; applies via careers portal (no public email) - https://www.hirist.tech/; offices: Noida
MetLife,anees.qureshi@metlife.com,Team,Contact,Noida,Uttar Pradesh,Insurance GCC,email anees.qureshi@metlife.com from existing repo list (domain match); Insurance GCC; applies via careers portal (no public email) - https://metlife.com/careers; offices: Noida/Pune/Jaipur
NXP Semiconductors,sandeep.ramesh@nxp.com,Team,Contact,Noida,Uttar Pradesh,Semiconductor,email sandeep.ramesh@nxp.com from existing repo list (domain match); Semiconductor; applies via careers portal (no public email) - https://nxp.wd3.myworkdayjobs.com/careers; offices: Noida/Bengaluru/Hyderabad
